government_legitimacy,run,max_active_agents,avg_active_agents,num_rebellions,total_steps,,,,government_legitimacy,run,max_active_agents,avg_active_agents,num_rebellions,total_steps
0,1,893,110.70149253731343,4,201,,,,0.6,1,704,91.22388059701493,10,201
0,2,870,104.85572139303483,4,201,,,,0.6,2,714,89.1044776119403,7,201
0,3,910,106.46268656716418,2,201,,,,0.6,3,753,102.49253731343283,10,201
0,4,899,112.2089552238806,7,201,,,,0.6,4,726,94.2636815920398,14,201
0,5,890,112.48258706467662,4,201,,,,0.6,5,689,85.86567164179104,11,201
0,6,904,111.55721393034825,3,201,,,,0.6,6,716,94.03482587064677,11,201
0,7,880,103.04975124378109,2,201,,,,0.6,7,720,89.16915422885572,9,201
0,8,899,111.48258706467662,4,201,,,,0.6,8,729,94.18905472636816,10,201
0,9,892,108.37810945273633,5,201,,,,0.6,9,733,94.87064676616916,10,201
0,10,873,106.59203980099502,4,201,,,,0.6,10,754,102.69651741293532,10,201
0.2,1,855,108.43781094527363,6,201,,,,0.8,1,444,45.049751243781095,6,201
0.2,2,846,106.69154228855722,6,201,,,,0.8,2,373,42.41293532338308,6,201
0.2,3,864,109.58706467661692,7,201,,,,0.8,3,371,40.1044776119403,7,201
0.2,4,842,104.55721393034825,6,201,,,,0.8,4,354,34.78109452736319,4,201
0.2,5,857,108.34825870646766,5,201,,,,0.8,5,411,41.44278606965174,6,201
0.2,6,857,100.66666666666667,5,201,,,,0.8,6,375,37.95522388059702,5,201
0.2,7,868,116.09452736318408,7,201,,,,0.8,7,397,42.407960199004975,6,201
0.2,8,861,109.18905472636816,6,201,,,,0.8,8,402,46.865671641791046,7,201
0.2,9,835,104.64676616915423,7,201,,,,0.8,9,391,42.940298507462686,4,201
0.2,10,855,105.53233830845771,6,201,,,,0.8,10,405,39.99004975124378,6,201
0.4,1,797,103.91542288557214,8,201,,,,,,,,,
0.4,2,789,97.46766169154229,9,201,,,,,,,,,
0.4,3,804,102.79601990049751,8,201,,,,,,,,,
0.4,4,815,107.12437810945273,11,201,,,,,,,,,
0.4,5,831,113.99004975124379,7,201,,,,,,,,,
0.4,6,806,99.07960199004975,10,201,,,,,,,,,
0.4,7,812,108.59701492537313,8,201,,,,,,,,,
0.4,8,801,99.74626865671642,10,201,,,,,,,,,
0.4,9,802,102.06965174129353,8,201,,,,,,,,,
0.4,10,813,100.31343283582089,7,201,,,,,,,,,
